horsepower,weight,category
130,3504,truck
165,3693,truck
150,3436,truck
150,3433,truck
140,3449,truck
198,4341,truck
220,4354,truck
215,4312,truck
225,4425,truck
190,3850,truck
170,3563,truck
160,3609,truck
150,3761,truck
225,3086,truck
95,2372,truck
95,2833,truck
97,2774,truck
85,2587,truck
88,2130,truck
46,1835,truck
87,2672,truck
90,2430,truck
95,2375,truck
113,2234,truck
90,2648,sedan
215,4615,sedan
200,4376,sedan
210,4382,sedan
193,4732,sedan
88,2130,sedan
90,2264,sedan
95,2228,sedan
84,2046,sedan
100,2634,sedan
105,3439,sedan
100,3329,sedan
88,3302,sedan
100,3288,sedan
165,4209,sedan
175,4464,sedan
153,4154,sedan
150,4096,sedan
180,4955,sedan
170,4746,sedan
175,5140,sedan
110,2962,sedan
72,2408,sedan
100,3282,sedan
88,3139,sedan
86,2220,truck
90,2123,truck
70,2074,truck
76,2065,truck
65,1773,truck
69,1613,truck
60,1834,truck
70,1955,truck
95,2278,truck
80,2126,truck
54,2254,truck
90,2408,truck
86,2226,truck
165,4274,truck
175,4385,truck
150,4135,truck
153,4129,truck
150,3672,truck
208,4633,truck
155,4502,truck
160,4456,truck
190,4422,truck
97,2330,truck
150,3892,truck
130,4098,truck
140,4294,sedan
150,4077,sedan
112,2933,sedan
76,2511,sedan
87,2979,sedan
69,2189,sedan
86,2395,sedan
92,2288,sedan
97,2506,sedan
80,2164,sedan
88,2100,sedan
175,4100,sedan
150,3672,sedan
145,3988,sedan
137,4042,sedan
150,3777,sedan
198,4952,sedan
150,4464,sedan
158,4363,sedan
150,4237,sedan
215,4735,sedan
225,4951,sedan
175,3821,sedan
105,3121,sedan
100,3278,sedan
157,2802,sedan
